movie_id,title,year,genres
1,toy story,1995,Animation Adventure Comedy Family Fantasy
2,goldeneye,1995,Action Adventure Thriller
3,four rooms,1995,Comedy
4,get shorty,1995,Comedy Crime Thriller
5,copycat,1995,Drama Mystery Thriller
6,shanghai triad yao a yao yao dao waipo qiao,1995,
7,twelve monkeys,1995,Mystery Sci-Fi Thriller
8,babe,1995,Comedy Drama Family
9,dead man walking,1995,Crime Drama
10,richard iii,1995,Drama Sci-Fi War
11,seven se7en,1995,Crime Drama Mystery Thriller
12,usual suspects the,1995,Crime Mystery Thriller
13,mighty aphrodite,1995,Comedy Fantasy Romance
14,postino il,1994,Biography Comedy Drama Romance
15,mr hollands opus,1995,Drama Music
16,french twist gazon maudit,1995,Comedy
17,from dusk till dawn,1996,Action Crime Horror
18,white balloon the,1995,Drama Family
19,antonias line,1995,Comedy Drama
20,angels and insects,1995,Drama Romance
21,muppet treasure island,1996,Action Adventure Comedy Family Musical Romance
22,braveheart,1995,Biography Drama History War
23,taxi driver,1976,Crime Drama
24,rumble in the bronx,1995,Action Comedy Crime Thriller
25,birdcage the,1996,Comedy
26,brothers mcmullen the,1995,Comedy Drama Romance
27,bad boys,1995,Action Comedy Crime Thriller
28,apollo 13,1995,Adventure Drama History
29,batman forever,1995,Action Adventure
30,belle de jour,1967,Drama Romance
31,crimson tide,1995,Action Drama Thriller War
32,crumb,1994,Documentary Biography Comedy
33,desperado,1995,Action Crime Thriller
34,doom generation the,1995,Comedy Crime Drama
35,free willy 2 the adventure home,1995,Adventure Drama Family
36,mad love,1995,Comedy Drama Romance
37,nadja,1994,Drama Horror
38,net the,1995,Action Crime Drama Mystery Thriller
39,strange days,1995,Action Crime Drama Sci-Fi Thriller
40,to wong foo thanks for everything julie newmar,1995,Comedy Drama
41,billy madison,1995,Comedy
42,clerks,1994,Comedy
43,disclosure,1994,Drama Thriller
44,dolores claiborne,1994,
45,eat drink man woman,1994,Comedy Drama Romance
46,exotica,1994,Drama
47,ed wood,1994,Biography Comedy Drama
48,hoop dreams,1994,Documentary Drama Sport
49,iq,1994,
50,star wars,1977,Action Adventure Fantasy Sci-Fi
51,legends of the fall,1994,Drama Romance War Western
52,madness of king george the,1994,Biography Comedy Drama History
53,natural born killers,1994,Action Crime Drama
54,outbreak,1995,Action Drama Thriller
55,professional the,1994,Action Crime Drama Thriller
56,pulp fiction,1994,Crime Drama
57,priest,1994,Drama Romance
58,quiz show,1994,Biography Drama History
59,three colors red,1994,Drama Mystery Romance
60,three colors blue,1993,Drama Music Mystery Romance
61,three colors white,1994,Comedy Drama Romance
62,stargate,1994,Action Adventure Sci-Fi
63,santa clause the,1994,Comedy Drama Family Fantasy
64,shawshank redemption the,1994,Drama
65,whats eating gilbert grape,1993,Drama
66,while you were sleeping,1995,Comedy Drama Romance
67,ace ventura pet detective,1994,Comedy
68,crow the,1994,Action Drama Fantasy
69,forrest gump,1994,Drama Romance
70,four weddings and a funeral,1994,Comedy Drama Romance
71,lion king the,1994,Animation Adventure Drama Family Musical
72,mask the,1994,Action Comedy Crime Fantasy
73,maverick,1994,Action Adventure Comedy Thriller Western
74,faster pussycat kill kill,1965,Action Comedy
75,brother minister the assassination of malcolm x,1994,Documentary
76,carlitos way,1993,Crime Drama Thriller
77,firm the,1993,Drama Mystery Thriller
78,free willy,1993,Adventure Drama Family
79,fugitive the,1993,Action Crime Drama Mystery Thriller
80,hot shots part deux,1993,Action Comedy
81,hudsucker proxy the,1994,Comedy Drama Fantasy
82,jurassic park,1993,Action Adventure Sci-Fi Thriller
83,much ado about nothing,1993,Comedy Drama Romance
84,robert a heinleins the puppet masters,1994,Horror Sci-Fi Thriller
85,ref the,1994,Comedy Crime Drama
86,remains of the day the,1993,Drama Romance
87,searching for bobby fischer,1993,Biography Drama
88,sleepless in seattle,1993,Comedy Drama Romance
89,blade runner,1982,Action Sci-Fi Thriller
90,so i married an axe murderer,1993,Comedy Romance
91,nightmare before christmas the,1993,Animation Family Fantasy Musical
92,true romance,1993,Crime Drama Romance Thriller
93,welcome to the dollhouse,1995,Comedy Drama
94,home alone,1990,Comedy Family
95,aladdin,1992,Animation Adventure Comedy Family Fantasy Musical Romance
96,terminator 2 judgment day,1991,Action Sci-Fi
97,dances with wolves,1990,Adventure Drama Western
98,silence of the lambs the,1991,Crime Drama Thriller
99,snow white and the seven dwarfs,1937,Animation Family Fantasy Musical Romance
100,fargo,1996,Crime Drama Thriller
101,heavy metal,1981,Animation Adventure Fantasy Sci-Fi
102,aristocats the,1970,Animation Adventure Comedy Family Musical
103,all dogs go to heaven 2,1996,Animation Adventure Family Fantasy Romance
104,theodore rex,1995,Action Comedy Family Sci-Fi
105,sgt bilko,1996,Comedy
106,diabolique,1996,Drama Horror Mystery Thriller
107,moll flanders,1996,Drama Romance
108,kids in the hall brain candy,1996,Comedy
109,mystery science theater 3000 the movie,1996,Comedy Sci-Fi
110,operation dumbo drop,1995,Action Adventure Comedy Drama Family War
111,truth about cats  dogs the,1996,Comedy Romance
112,flipper,1996,Adventure Family
113,horseman on the roof the hussard sur le toit le,1995,Adventure Drama Romance War
114,wallace  gromit the best of aardman animation,1996,Talk-Show
115,haunted world of edward d wood jr the,1995,Documentary Biography
116,cold comfort farm,1995,Comedy Romance
117,rock the,1996,Action Adventure Thriller
118,twister,1996,Action Adventure Thriller
119,maya lin a strong clear vision,1994,Documentary Biography
120,striptease,1996,Comedy Crime Drama Thriller
121,independence day id4,1996,Action Adventure Sci-Fi
122,cable guy the,1996,Comedy Drama Thriller
123,frighteners the,1996,Comedy Fantasy Horror
124,lone star,1996,Drama Mystery
125,phenomenon,1996,Drama Fantasy Romance Sci-Fi
126,spitfire grill the,1996,Drama
127,godfather the,1972,Crime Drama
128,supercop,1992,Action Comedy Crime Thriller
129,bound,1996,Crime Romance Thriller
130,kansas city,1996,Crime Drama Music Thriller
131,breakfast at tiffanys,1961,Comedy Drama Romance
132,wizard of oz the,1939,Adventure Family Fantasy Musical
133,gone with the wind,1939,Drama History Romance War
134,citizen kane,1941,Drama Mystery
135,2001 a space odyssey,1968,Adventure Sci-Fi
136,mr smith goes to washington,1939,Comedy Drama
137,big night,1996,Drama Romance
138,d3 the mighty ducks,1996,Action Comedy Drama Family Sport
139,love bug the,1969,
140,homeward bound the incredible journey,1993,Adventure Comedy Drama Family
141,20000 leagues under the sea,1954,Adventure Drama Family Fantasy Sci-Fi
142,bedknobs and broomsticks,1971,Animation Adventure Comedy Family Fantasy Musical
143,sound of music the,1965,Biography Drama Family Musical Romance
144,die hard,1988,Action Thriller
145,lawnmower man the,1992,Horror Sci-Fi
146,unhook the stars,1996,Drama Romance
147,long kiss goodnight the,1996,Action Crime Drama Mystery Thriller
148,ghost and the darkness the,1996,Adventure Drama Thriller
149,jude,1996,Drama Romance
150,swingers,1996,Comedy Drama
151,willy wonka and the chocolate factory,1971,Family Fantasy Musical
152,sleeper,1973,Comedy Sci-Fi
153,fish called wanda a,1988,Comedy Crime
154,monty pythons life of brian,1979,Comedy
155,dirty dancing,1987,Drama Music Romance
156,reservoir dogs,1992,Crime Drama Thriller
157,platoon,1986,Drama War
158,weekend at bernies,1989,Adventure Comedy Crime
159,basic instinct,1992,Drama Mystery Thriller
160,glengarry glen ross,1992,Crime Drama Mystery
161,top gun,1986,Action Drama
162,on golden pond,1981,Drama
163,return of the pink panther the,1974,
164,abyss the,1989,Adventure Drama Mystery Sci-Fi Thriller
165,jean de florette,1986,Comedy Drama
166,manon of the spring manon des sources,1986,Drama
167,private benjamin,1980,Comedy War
168,monty python and the holy grail,1974,Comedy Documentary Short
169,wrong trousers the,1993,Animation Short Comedy Crime Family Sci-Fi
170,cinema paradiso,1988,Drama
171,delicatessen,1991,Comedy Crime
172,empire strikes back the,1980,News
173,princess bride the,1987,Adventure Family Fantasy Romance
174,raiders of the lost ark,1981,Action Adventure
175,brazil,1985,Drama Sci-Fi
176,aliens,1986,Action Adventure Sci-Fi Thriller
177,good the bad and the ugly the,1966,Western
178,12 angry men,1957,Crime Drama
179,clockwork orange a,1971,Crime Drama Sci-Fi
180,apocalypse now,1979,Drama Mystery War
181,return of the jedi,1983,Action Adventure Fantasy Sci-Fi
182,goodfellas,1990,Biography Crime Drama
183,alien,1979,Horror Sci-Fi
184,army of darkness,1993,
185,psycho,1960,Horror Mystery Thriller
186,blues brothers the,1980,Action Adventure Comedy Crime Music Musical
187,godfather part ii the,1974,Crime Drama
188,full metal jacket,1987,Drama War
189,grand day out a,1992,
190,henry v,1989,Action Biography Drama History Romance War
191,amadeus,1984,Biography Drama History Music
192,raging bull,1980,Biography Drama Sport
193,right stuff the,1983,Adventure Biography Drama History
194,sting the,1973,Comedy Crime Drama
195,terminator the,1984,Action Sci-Fi
196,dead poets society,1989,Comedy Drama
197,graduate the,1967,Comedy Drama Romance
198,nikita la femme nikita,1990,Action Thriller
199,bridge on the river kwai the,1957,Adventure Drama War
200,shining the,1980,Drama Horror
201,evil dead ii,1987,Action Comedy Fantasy Horror Thriller
202,groundhog day,1993,Comedy Fantasy Romance
203,unforgiven,1992,Drama Western
204,back to the future,1985,Adventure Comedy Sci-Fi
205,patton,1970,Biography Drama War
206,akira,1988,Animation Action Sci-Fi Thriller
207,cyrano de bergerac,1990,Comedy Drama History Romance
208,young frankenstein,1974,Comedy
209,this is spinal tap,1984,Comedy Music
210,indiana jones and the last crusade,1989,Action Adventure
211,mash,1970,Comedy Drama War
212,unbearable lightness of being the,1988,Drama Romance
213,room with a view a,1986,
214,pink floyd  the wall,1982,Drama Fantasy Music
215,field of dreams,1989,Drama Family Fantasy Sport
216,when harry met sally,1989,Comedy Drama Romance
217,bram stokers dracula,1992,Horror
218,cape fear,1991,Crime Thriller
219,nightmare on elm street a,1984,Horror
220,mirror has two faces the,1996,Comedy Drama Romance
221,breaking the waves,1996,Drama
222,star trek first contact,1996,Action Adventure Drama Sci-Fi Thriller
223,sling blade,1996,Drama
224,ridicule,1996,Comedy Drama History Romance
225,101 dalmatians,1996,Adventure Comedy Crime Family
226,die hard 2,1990,Action Thriller
227,star trek vi the undiscovered country,1991,Action Adventure Sci-Fi Thriller
228,star trek the wrath of khan,1982,Action Adventure Sci-Fi
229,star trek iii the search for spock,1984,Action Adventure Sci-Fi
230,star trek iv the voyage home,1986,Adventure Comedy Sci-Fi
231,batman returns,1992,Action Crime Fantasy
232,young guns,1988,Action Western
233,under siege,1992,Action Thriller
234,jaws,1975,Adventure Thriller
235,mars attacks,1996,Comedy Sci-Fi
236,citizen ruth,1996,Comedy Drama
237,jerry maguire,1996,Comedy Drama Romance Sport
238,raising arizona,1987,Comedy Crime
239,sneakers,1992,Comedy Crime Drama Mystery Thriller
240,beavis and butthead do america,1996,Animation Adventure Comedy Crime Music
241,last of the mohicans the,1992,Action Adventure Drama Romance War
242,kolya,1996,Comedy Drama Music
243,jungle2jungle,1997,Comedy Family
244,smillas sense of snow,1997,Crime Drama Mystery Sci-Fi Thriller
245,devils own the,1997,Action Crime Drama Thriller
246,chasing amy,1997,Comedy Drama Romance
247,turbo a power rangers movie,1997,Action Adventure Family Fantasy Sci-Fi Thriller
248,grosse pointe blank,1997,Action Comedy Crime Romance Thriller
249,austin powers international man of mystery,1997,Adventure Comedy
250,fifth element the,1997,Action Adventure Sci-Fi
251,shall we dance,1996,Comedy Drama Music Romance
252,lost world jurassic park the,1997,Action Adventure Sci-Fi
253,pillow book the,1995,
254,batman  robin,1997,Action Sci-Fi
255,my best friends wedding,1997,Comedy Drama Romance
256,when the cats away chacun cherche son chat,1996,Comedy Romance
257,men in black,1997,Action Adventure Comedy Sci-Fi
258,contact,1997,Drama Mystery Sci-Fi Thriller
259,george of the jungle,1997,Action Adventure Comedy Family Romance
260,event horizon,1997,Horror Sci-Fi Thriller
261,air bud,1997,Comedy Drama Family Sport
262,in the company of men,1997,Comedy Drama
263,steel,1997,Action Adventure Crime Fantasy Sci-Fi
264,mimic,1997,Horror Sci-Fi
265,hunt for red october the,1990,Action Adventure Thriller
266,kull the conqueror,1997,Action Adventure Fantasy
268,chasing amy,1997,Comedy Drama Romance
269,full monty the,1997,Comedy Drama
270,gattaca,1997,Drama Sci-Fi Thriller
271,starship troopers,1997,Action Adventure Sci-Fi Thriller
272,good will hunting,1997,Drama Romance
273,heat,1995,Crime Drama Thriller
274,sabrina,1995,Comedy Drama Romance
275,sense and sensibility,1995,Drama Romance
276,leaving las vegas,1995,Drama Romance
277,restoration,1995,Biography Drama History Romance
278,bed of roses,1996,Drama Romance
279,once upon a time when we were colored,1995,Drama Romance
280,up close and personal,1996,Drama Romance
281,river wild the,1994,Adventure Crime Thriller
282,time to kill a,1996,Crime Drama Thriller
283,emma,1996,Comedy Drama Romance
284,tin cup,1996,Comedy Drama Romance Sport
285,secrets  lies,1996,Comedy Drama
286,english patient the,1996,Drama Romance War
287,marvins room,1996,Drama
288,scream,1996,Horror Mystery
289,evita,1996,Biography Drama History Musical
290,fierce creatures,1997,Comedy
291,absolute power,1997,Action Crime Drama Thriller
292,rosewood,1997,Action Drama History
293,donnie brasco,1997,Biography Crime Drama
294,liar liar,1997,Comedy Fantasy
295,breakdown,1997,Crime Drama Mystery Thriller
296,promesse la,1996,
297,ulees gold,1997,Drama
298,faceoff,1997,Drama Romance
299,hoodlum,1997,Crime Drama
300,air force one,1997,Action Drama Thriller
301,in  out,1997,Comedy Romance
302,la confidential,1997,Crime Drama Mystery Thriller
303,ulees gold,1997,Drama
304,fly away home,1996,Adventure Drama Family
305,ice storm the,1997,Drama
306,mrs brown her majesty mrs brown,1997,Biography Drama History Romance
307,devils advocate the,1997,Drama Mystery Thriller
308,fairytale a true story,1997,Drama Family Fantasy Mystery
309,deceiver,1997,Crime Drama Mystery Thriller
310,rainmaker the,1997,Crime Drama Thriller
311,wings of the dove the,1997,Drama Romance
312,midnight in the garden of good and evil,1997,Crime Drama Mystery Thriller
313,titanic,1997,Drama Romance
314,3 ninjas high noon at mega mountain,1998,Action Adventure Comedy Family
315,apt pupil,1998,Crime Drama Thriller
316,as good as it gets,1997,Comedy Drama Romance
317,in the name of the father,1993,Biography Drama
318,schindlers list,1993,Biography Drama History
319,everyone says i love you,1996,Comedy Musical Romance
320,paradise lost the child murders at robin hood hills,1996,Documentary Crime
321,mother,1996,
322,murder at 1600,1997,Action Crime Drama Mystery Thriller
323,dantes peak,1997,Action Adventure Thriller
324,lost highway,1997,Mystery Thriller
325,crash,1996,Drama
326,gi jane,1997,Action Drama War
327,cop land,1997,Crime Drama Thriller
328,conspiracy theory,1997,Action Mystery Thriller
329,desperate measures,1998,Action Crime Drama Thriller
330,187,1997,Drama Thriller
331,edge the,1997,Action Adventure Drama Thriller
332,kiss the girls,1997,Crime Drama Mystery Thriller
333,game the,1997,Action Drama Mystery Thriller
334,u turn,1997,Crime Drama Thriller
335,how to be a player,1997,Comedy
336,playing god,1997,Crime Drama Thriller
337,house of yes the,1997,Comedy Drama
338,bean,1997,Adventure Comedy Family
339,mad city,1997,Crime Drama Thriller
340,boogie nights,1997,Drama
341,critical care,1997,Comedy Drama
342,man who knew too little the,1997,Comedy Crime Drama
343,alien resurrection,1997,Action Horror Sci-Fi
344,apostle the,1997,Drama
345,deconstructing harry,1997,Comedy
346,jackie brown,1997,Crime Drama Thriller
347,wag the dog,1997,Comedy Drama
348,desperate measures,1998,Action Crime Drama Thriller
349,hard rain,1998,Action Crime Drama Thriller
350,fallen,1998,Action Crime Drama Fantasy Mystery Thriller
351,prophecy ii the,1998,Fantasy Horror Thriller
352,spice world,1997,Comedy Family Music
353,deep rising,1998,Action Adventure Horror Sci-Fi
354,wedding singer the,1998,Comedy Music Romance
355,sphere,1998,Action Mystery Sci-Fi Thriller
356,client the,1994,Crime Drama Mystery Thriller
357,one flew over the cuckoos nest,1975,Drama
358,spawn,1997,Action Drama Horror
359,assignment the,1997,Action Crime Thriller
360,wonderland,1997,
361,incognito,1997,Crime Thriller
362,blues brothers 2000,1998,Action Comedy Crime Music Musical
363,sudden death,1995,Action Crime Thriller
364,ace ventura when nature calls,1995,Adventure Comedy Crime
365,powder,1995,Drama Fantasy Mystery Sci-Fi Thriller
366,dangerous minds,1995,Biography Drama
367,clueless,1995,Comedy Romance
368,biodome,1996,Comedy
369,black sheep,1996,Comedy
370,mary reilly,1996,Drama Horror Romance Thriller
371,bridges of madison county the,1995,Drama Romance
372,jeffrey,1995,Comedy Drama
373,judge dredd,1995,Action Crime Sci-Fi Thriller
374,mighty morphin power rangers the movie,1995,Action Adventure Family Sci-Fi Thriller
375,showgirls,1995,Drama
376,houseguest,1994,
377,heavyweights,1994,
378,miracle on 34th street,1994,Family Fantasy
379,tales from the crypt presents demon knight,1995,Action Fantasy Horror Thriller
380,star trek generations,1994,Action Adventure Mystery Sci-Fi Thriller
381,muriels wedding,1994,Comedy Drama
382,adventures of priscilla queen of the desert the,1994,Comedy Music
383,flintstones the,1994,Comedy Family Fantasy
384,naked gun 33 13 the final insult,1994,Comedy Crime
385,true lies,1994,Action Adventure Comedy Thriller
386,addams family values,1993,Comedy Fantasy
387,age of innocence the,1993,Drama Romance
388,beverly hills cop iii,1994,Action Comedy Crime Thriller
389,black beauty,1994,Adventure Drama Family Romance
390,fear of a black hat,1993,Comedy Music
391,last action hero,1993,Action Adventure Comedy Fantasy
392,man without a face the,1993,Drama
393,mrs doubtfire,1993,Comedy Drama Family
394,radioland murders,1994,Comedy Crime Drama Musical Mystery Romance
395,robin hood men in tights,1993,Adventure Comedy Musical Romance
396,serial mom,1994,Comedy Crime Thriller
397,striking distance,1993,Action Crime Mystery Thriller
398,super mario bros,1993,Adventure Comedy Family Fantasy Sci-Fi
399,three musketeers the,1993,Action Adventure Comedy Family Romance
400,little rascals the,1994,Comedy Family Romance
401,brady bunch movie the,1995,Comedy
402,ghost,1990,Drama Fantasy Romance Thriller
403,batman,1989,Action Adventure
404,pinocchio,1940,Animation Comedy Family Fantasy Musical
405,mission impossible,1996,Action Adventure Thriller
406,thinner,1996,Fantasy Horror
407,spy hard,1996,Action Comedy
408,close shave a,1995,Animation Short Comedy Crime Family Mystery
409,jack,1996,Comedy Drama Fantasy
410,kingpin,1996,Comedy Sport
411,nutty professor the,1996,Comedy Romance Sci-Fi
412,very brady sequel a,1996,Comedy
413,tales from the crypt presents bordello of blood,1996,Comedy Fantasy Horror
414,my favorite year,1982,Comedy Drama
415,apple dumpling gang the,1975,Comedy Family Western
416,old yeller,1957,Adventure Drama Family Western
417,parent trap the,1961,Comedy Family Romance
418,cinderella,1950,Animation Family Fantasy Musical Romance
419,mary poppins,1964,Comedy Family Fantasy Musical
420,alice in wonderland,1951,Animation Adventure Family Fantasy Musical
421,william shakespeares romeo and juliet,1996,Drama Romance
422,aladdin and the king of thieves,1996,Animation Adventure Comedy Family Fantasy Musical Romance
423,et the extraterrestrial,1982,Family Sci-Fi
424,children of the corn the gathering,1996,Horror Thriller
425,bob roberts,1992,Comedy Drama
426,transformers the movie the,1986,Animation Action Adventure Family Sci-Fi
427,to kill a mockingbird,1962,Crime Drama
428,harold and maude,1971,Comedy Drama Romance
429,day the earth stood still the,1951,Drama Sci-Fi
430,duck soup,1933,Comedy Musical War
431,highlander,1986,Action Adventure Fantasy
432,fantasia,1940,Animation Family Fantasy Music Musical
433,heathers,1989,Comedy Crime
434,forbidden planet,1956,Action Adventure Sci-Fi Thriller
435,butch cassidy and the sundance kid,1969,Biography Crime Drama Western
436,american werewolf in london an,1981,Comedy Horror
437,amityville 1992 its about time,1992,Horror
438,amityville 3d,1983,Horror
439,amityville a new generation,1993,Horror
440,amityville ii the possession,1982,Horror
441,amityville horror the,1979,Horror
442,amityville curse the,1990,Horror
443,birds the,1963,Drama Horror Mystery Romance
444,blob the,1958,Horror Sci-Fi
445,body snatcher the,1945,Horror Thriller
446,burnt offerings,1976,Horror Mystery Thriller
447,carrie,1976,Horror
448,omen the,1976,Horror
449,star trek the motion picture,1979,Adventure Mystery Sci-Fi
450,star trek v the final frontier,1989,Action Adventure Fantasy Sci-Fi Thriller
451,grease,1978,Musical Romance
452,jaws 2,1978,Adventure Horror Thriller
453,jaws 3d,1983,Adventure Horror Thriller
454,bastard out of carolina,1996,Drama
455,jackie chans first strike,1996,Action Adventure Comedy Crime Drama Thriller
456,beverly hills ninja,1997,Action Comedy
457,free willy 3 the rescue,1997,Adventure Drama Family
458,nixon,1995,Biography Drama History
459,cry the beloved country,1995,Drama Thriller
460,crossing guard the,1995,Drama Thriller
461,smoke,1995,Comedy Drama
462,like water for chocolate como agua para chocolate,1992,Drama Romance
463,secret of roan inish the,1994,Drama Family Fantasy
464,vanya on 42nd street,1994,Comedy Drama Romance
465,jungle book the,1994,Adventure Family Romance
466,red rock west,1992,Music
467,bronx tale a,1993,Crime Drama Romance
468,rudy,1993,Biography Drama Sport
469,short cuts,1993,Comedy Drama
470,tombstone,1993,Action Biography Drama History Western
471,courage under fire,1996,Action Drama Mystery Thriller War
472,dragonheart,1996,Action Adventure Fantasy
473,james and the giant peach,1996,Animation Adventure Family Fantasy Musical
474,dr strangelove or how i learned to stop worrying and love the bomb,1963,
475,trainspotting,1996,Drama
476,first wives club the,1996,Comedy
477,matilda,1996,Comedy Family Fantasy
478,philadelphia story the,1940,Comedy Romance
479,vertigo,1958,Mystery Romance Thriller
480,north by northwest,1959,Adventure Mystery Thriller
481,apartment the,1960,Comedy Drama Romance
482,some like it hot,1959,Comedy Music Romance
483,casablanca,1942,Drama Romance War
484,maltese falcon the,1941,Film-Noir Mystery
485,my fair lady,1964,Drama Family Musical Romance
486,sabrina,1954,Comedy Drama Romance
487,roman holiday,1953,Comedy Romance
488,sunset blvd,1950,Drama Film-Noir
489,notorious,1946,Drama Film-Noir Romance Thriller
490,to catch a thief,1955,Mystery Romance Thriller
491,adventures of robin hood the,1938,Action Adventure Romance
492,east of eden,1955,Drama
493,thin man the,1934,Comedy Crime Mystery
494,his girl friday,1940,Comedy Drama Romance
495,around the world in 80 days,1956,Adventure Comedy Family Romance
496,its a wonderful life,1946,Drama Family Fantasy
497,bringing up baby,1938,Comedy Family Romance
498,african queen the,1951,Adventure Drama Romance War
499,cat on a hot tin roof,1958,Drama
500,fly away home,1996,Adventure Drama Family
501,dumbo,1941,Animation Drama Family Musical
502,bananas,1971,Comedy
503,candidate the,1972,Comedy Drama
504,bonnie and clyde,1967,Action Biography Crime Drama
505,dial m for murder,1954,Crime Thriller
506,rebel without a cause,1955,Drama
507,streetcar named desire a,1951,Drama
508,people vs larry flynt the,1996,Biography Drama
509,my left foot,1989,Biography Drama
510,magnificent seven the,1954,
511,lawrence of arabia,1962,Adventure Biography Drama History War
512,wings of desire,1987,Drama Fantasy Romance
513,third man the,1949,Film-Noir Mystery Thriller
514,annie hall,1977,Comedy Romance
515,boot das,1981,Adventure Drama Thriller War
516,local hero,1983,Comedy Drama
517,manhattan,1979,Comedy Drama Romance
518,millers crossing,1990,Crime Drama Thriller
519,treasure of the sierra madre the,1948,Adventure Drama Western
520,great escape the,1963,Adventure Drama History Thriller War
521,deer hunter the,1978,Drama War
522,down by law,1986,Comedy Crime Drama
523,cool hand luke,1967,Crime Drama
524,great dictator the,1940,Comedy Drama War
525,big sleep the,1946,Crime Film-Noir Mystery Thriller
526,benhur,1959,Adventure Drama History
527,gandhi,1982,Biography Drama History
528,killing fields the,1984,Biography Drama History War
529,my life as a dog mitt liv som hund,1985,Drama Comedy
530,man who would be king the,1975,Adventure History War
531,shine,1996,Biography Drama Music Romance
532,kama sutra a tale of love,1996,Crime Drama History Romance
533,daytrippers the,1996,Comedy Drama
534,traveller,1997,Crime Drama Romance
535,addicted to love,1997,Comedy Romance
536,ponette,1996,Drama
537,my own private idaho,1991,Drama
538,anastasia,1997,Animation Adventure Drama Family Fantasy Musical Mystery Romance
539,mouse hunt,1997,Comedy
